n,metric,steps,independent_inputs,repeats_per_input,baseline,baseline_us,baseline_us_q1,baseline_us_q3,proposed_us,proposed_us_q1,proposed_us_q3,paired_speedup,paired_speedup_q1,paired_speedup_q3,baseline_total_ms,baseline_total_ms_q1,baseline_total_ms_q3,proposed_total_ms,proposed_total_ms_q1,proposed_total_ms_q3,total_speedup,total_speedup_q1,total_speedup_q3
13,max,1664,10,5,bitwise,8.804368088942308,8.80067127403846,8.814483173076923,0.26470522836538457,0.2594116586538462,0.27313356370192304,33.273985231412766,32.221591371191366,33.97042822633082,14.860797,14.854924,14.87802975,0.645752,0.63739325,0.6592979999999999,22.98644852689466,22.54773882771083,23.342066081293936
13,min,5,10,5,bitwise,538.6369,535.20475,545.8890000000001,7.0062999999999995,6.987699999999999,7.036899999999999,76.94147697446147,76.36541360552772,77.07503307696206,3.3385805,3.3162052500000003,3.37656625,0.15274500000000002,0.152026,0.153229,21.940633247603074,21.7656824508437,22.237514969775134
13,spectrum,128,10,5,bitwise,460.1741171875,459.81279296875005,461.05201953125,39.88270703125,38.115794921875,42.361212890625,11.517365821203214,10.878027420407777,12.065654149227512,59.56989,59.522807,59.68443375,10.9611585,10.690983,11.2617265,5.4272635274455645,5.293713321093225,5.57961250035902
14,max,1152,10,5,bitwise,19.107305555555556,19.103877604166666,19.11265581597222,0.38423567708333334,0.3712983940972222,0.39823415798611106,49.76646023234694,47.91990923769289,51.50803223401972,22.4463485,22.44385475,22.455675499999998,0.8623715000000001,0.8521495,0.8764425,26.038532974428996,25.566489572839316,26.404947893233086
14,min,5,10,5,bitwise,1845.7565,1823.57665,1852.84775,14.0367,13.9738,14.09625,131.20897495436444,128.84614443196654,132.2148079682341,11.281794,11.1210195,11.3373175,0.2956615,0.2945795,0.29611,38.11004825926983,37.68480996680819,38.29145583107953
14,spectrum,128,10,5,bitwise,1726.86645703125,1717.699046875,1733.0292792968748,276.61084765625003,265.36577343749997,301.82090234375,6.2402790217841115,5.682657258618772,6.52981440591477,223.204682,221.98749049999998,223.98091525,58.69357,56.92346725,61.6837475,3.7975611967522847,3.5929053366314347,3.9335609082513523
15,max,768,10,5,bitwise,41.65405598958334,41.60962141927084,41.67414680989583,0.5924622395833333,0.5715878906249999,0.6240289713541667,70.29813880524989,66.69960958932191,72.94515080417666,32.9353895,32.9023775,32.956320250000005,1.3658199999999998,1.35424675,1.39025175,24.11102029687808,23.684036805458692,24.34415763392137
15,min,3,10,5,bitwise,7028.252,6934.012583333333,7329.30275,29.904333333333334,29.87125,29.95125,234.85286711989943,231.8327693991041,244.9814578759101,28.5396035,28.16185125,29.7617975,0.5787180000000001,0.5771585,0.5815685,49.33886919544733,48.3831080890082,51.746828165312415
15,spectrum,128,10,5,bitwise,6538.51859375,6498.011423828125,6584.39405078125,1166.4929687499998,1090.4575625,1212.38873828125,5.610213540411673,5.352370833537066,6.006969212749404,844.4067675,839.076217,850.2591255,240.248177,230.55252975000002,246.60901275,3.516912997485836,3.3979390549755273,3.6723855221293102
16,max,512,10,5,bitwise,88.9277509765625,88.81102685546875,89.001671875,0.9258984375,0.8634404296875,0.9554970703125,96.07420685793892,93.01171021666707,102.92918855450125,47.5044905,47.463632000000004,47.55439675,2.396908,2.38056,2.4216509999999998,19.817513395272147,19.601457533327512,19.943799494891845
16,min,1,10,5,bitwise,27548.381999999998,26604.76525,27924.81175,61.543000000000006,61.402,61.5805,448.28862044695126,432.0324063533204,453.76253202477426,56.0527075,54.10404,56.65998725,1.0881945,1.0856615,1.09456,51.704228399619055,49.614697055147886,52.16870881502906
16,spectrum,128,10,5,bitwise,25904.63570703125,25655.19769140625,26496.33753125,4029.5565976562502,3736.71373828125,4096.3073125,6.792610036118704,6.326013169610125,7.158379348135359,3343.6183125,3311.3833495,3419.90566625,872.692941,835.06820875,880.9987205,3.980129684482015,3.78720098913889,4.188781919014175
17,max,512,10,5,bitwise,203.60888867187498,203.32638232421877,203.853416015625,1.0782919921874998,1.04901904296875,1.1753935546875,188.65491428980766,173.34187372374632,193.9282136335595,108.581351,108.41273100000001,108.67050825,4.7004035,4.6799142499999995,4.740715,23.059964727786145,22.935325401590873,23.205623225862443
17,min,1,10,5,bitwise,179862.6085,179690.25425,179933.05599999998,220.945,220.20825000000002,223.163,813.6535277969347,806.1990017376884,816.0899044941273,361.53752199999997,361.43338525,361.77272899999997,2.638001,2.636537,2.6482667500000003,137.00088631700754,136.57042183174624,137.08461405753954
17,spectrum,128,10,5,bitwise,102412.2498359375,102150.41588671875,103099.52516015625,11606.2095625,11030.29086328125,12459.008421875002,8.827563880745245,8.211425013687933,9.336709188963706,13215.224516499999,13181.35035,13303.59317375,2855.5055494999997,2783.92212175,2967.4155929999997,4.625207939462275,4.4460937401832155,4.7657108061262665
18,max,512,10,5,bitwise,440.8538193359375,440.3742568359375,441.124654296875,1.9211162109375,1.82907275390625,1.950259765625,229.4581385298556,226.1603110034589,240.9618827142455,234.5220245,234.28567725,234.67192375,9.467862,9.4296425,9.500585000000001,24.773375442934515,24.695419653597515,24.85198650806788
18,min,1,10,5,bitwise,709265.8315000001,708734.4172499999,709405.34725,488.318,482.40425000000005,490.88575000000003,1452.0555249847525,1444.8009291776407,1470.5451721870186,1422.3679379999999,1421.6213595,1422.6848707499998,5.3512925,5.3285685,5.3729575,265.6951300828872,264.4881821058194,266.9599529511081
18,spectrum,128,10,5,bitwise,448180.0148867187,446365.31404882815,448505.02676953125,39867.28974609375,38854.98680078125,42713.59294921876,11.24690715487037,10.48617345969517,11.485183095969948,57823.7059305,57589.064100999996,57865.379637499995,10522.8604835,10382.4747805,10880.5158015,5.497504450432285,5.310073472423373,5.545348511708033
19,max,512,10,5,bitwise,975.26362109375,975.1308559570313,975.6608203125,3.05309375,2.6540639648437496,3.20100634765625,319.37974519042746,304.7978101862651,367.520706362524,517.875272,517.7844022500001,518.02195325,19.404603,19.26242125,19.534167999999998,26.674639278528222,26.52143522059754,26.90647480584582
19,min,1,10,5,bitwise,2819272.3535,2816766.25025,2820383.15125,1032.8600000000001,1031.54725,1034.65525,2728.085657682224,2724.9261403476103,2733.665392714243,5645.595539,5640.6413565,5648.561446,11.1768025,11.120621,11.2020095,505.4305202591112,503.6389067819607,507.61382687129947
19,spectrum,128,10,5,bitwise,1780605.1580546875,1779305.0762558593,1782117.9259179686,116330.33328515626,103030.79049414063,122127.23763867188,15.29043887911876,14.67379268032038,17.300526863339023,229714.46500650002,229548.18359875,229909.13750825,36411.021529000005,34708.91934275,37118.540205,6.301168521998339,6.228148839531502,6.623718416288116
