group,case,metric,profile,threads,baseline,proposed,paired_algorithm_speedup,paired_batch_total_speedup
B,CLEFIA_S1,spectrum,natural,1,peigen,proposed,2.5278666531800833,2.419249866720684
B,MISTY1_FI_key0000,max,natural,1,bitwise,proposed,30.901640365211733,10.184282973648253
B,MISTY1_FI_key0000,max,natural,2,bitwise,proposed,52.9197805877203,16.434044813023934
B,MISTY1_FI_key0000,max,natural,4,bitwise,proposed,34.06766160522144,12.50858424926335
B,MISTY1_FI_key0000,max,natural,8,bitwise,proposed,24.639204733945572,9.9824611885655
B,MISTY1_FI_key0000,max,natural,16,bitwise,proposed,26.242851050546708,11.03337204595632
B,MISTY1_FI_key0000,max,natural,32,bitwise,proposed,25.86458841451313,10.727946893498915
B,MISTY1_FI_key0000,max,natural,64,bitwise,proposed,24.70262683466086,10.170101616018
B,MISTY1_FI_key0000,min,natural,1,bitwise,proposed,967.1826139868463,819.214084038825
B,MISTY1_FI_key0000,min,natural,2,bitwise,proposed,456.6372524358136,391.99152625515967
B,MISTY1_FI_key0000,min,natural,4,bitwise,proposed,291.60887620225975,242.4149791709635
B,MISTY1_FI_key0000,min,natural,8,bitwise,proposed,168.24998500361315,139.25655594503917
B,MISTY1_FI_key0000,min,natural,16,bitwise,proposed,91.82388763566819,76.53597967374894
B,MISTY1_FI_key0000,min,natural,32,bitwise,proposed,56.15624994356133,44.177607803601326
B,MISTY1_FI_key0000,min,natural,64,bitwise,proposed,33.617570082380134,27.335168445472227
B,MISTY1_FI_key0000,spectrum,natural,1,bitwise,proposed,4.256326296451715,2.0472207894909387
B,MISTY1_FI_key0000,spectrum,natural,2,bitwise,proposed,5.486128576679222,2.182515073790222
B,MISTY1_FI_key0000,spectrum,natural,4,bitwise,proposed,4.6726981537149435,1.8530637633200495
B,MISTY1_FI_key0000,spectrum,natural,8,bitwise,proposed,2.8191502981683048,1.3176255785827438
B,MISTY1_FI_key0000,spectrum,natural,16,bitwise,proposed,1.6827487360867015,0.8956682108256573
B,MISTY1_FI_key0000,spectrum,natural,32,bitwise,proposed,4.372387101346596,1.3902306283252839
B,MISTY1_FI_key0000,spectrum,natural,64,bitwise,proposed,9.79670890352622,1.8333624355720197
B,MISTY1_S9,max,natural,1,bitwise,proposed,4.8266141266793126,4.64146651788625
B,MISTY1_S9,max,natural,2,bitwise,proposed,4.929875530153009,4.756845462781217
B,MISTY1_S9,max,natural,4,bitwise,proposed,3.9375830370360996,3.7291607041102317
B,MISTY1_S9,max,natural,8,bitwise,proposed,3.7740002878176298,3.6018855315914986
B,MISTY1_S9,max,natural,16,bitwise,proposed,4.812094429266902,4.623758832365868
B,MISTY1_S9,max,natural,32,bitwise,proposed,4.82867922898586,4.638887645729374
B,MISTY1_S9,max,natural,64,bitwise,proposed,4.871721542803386,4.595936109618288
B,MISTY1_S9,min,natural,1,bitwise,proposed,20.759705106983017,20.399983804340437
B,MISTY1_S9,min,natural,2,bitwise,proposed,19.489966701844168,18.634840292325183
B,MISTY1_S9,min,natural,4,bitwise,proposed,17.466571027738997,16.922047440821046
B,MISTY1_S9,min,natural,8,bitwise,proposed,20.571678837500922,20.23093190920161
B,MISTY1_S9,min,natural,16,bitwise,proposed,20.767430429134077,20.326767403134436
B,MISTY1_S9,min,natural,32,bitwise,proposed,20.894046885592477,20.46919871005711
B,MISTY1_S9,min,natural,64,bitwise,proposed,20.93027215594321,20.24992403868373
B,MISTY1_S9,spectrum,natural,1,bitwise,proposed,2.311704634939329,2.034920787336693
B,MISTY1_S9,spectrum,natural,2,bitwise,proposed,2.3239358113468387,1.880320143681811
B,MISTY1_S9,spectrum,natural,4,bitwise,proposed,2.0474603603801116,1.509076027705258
B,MISTY1_S9,spectrum,natural,8,bitwise,proposed,2.3027190971706877,2.0392497683342543
B,MISTY1_S9,spectrum,natural,16,bitwise,proposed,2.309685085992796,2.019044279977868
B,MISTY1_S9,spectrum,natural,32,bitwise,proposed,2.3338359368006447,2.0294934542644825
B,MISTY1_S9,spectrum,natural,64,bitwise,proposed,2.270428861987579,1.9966160997998028
B,PRESENT,max,natural,1,bitwise,proposed,1.2501013836696768,1.2360369032716902
