group,case,metric,profile,method,binary,threads,core_speedup,core_q1,core_q3,total_speedup,total_q1,total_q3
A,random_n12_00,spectrum,high,reference,coam,32,13.434258641643217,13.288089904530285,13.475582576274334,13.140772097655693,13.008091087966466,13.196014946952129
A,random_n12_00,spectrum,high,reference,coam,64,16.06573113076534,15.914204288059487,16.100301622887507,15.077336212546042,14.979072569535646,15.093697422178725
A,random_n12_00,spectrum,high,reference-proposed,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n12_00,spectrum,high,reference-proposed,coam,2,1.1466821066219097,1.1429565852765164,1.1511301724502285,0.9650643324714736,0.9621616224055682,0.9880568790357012
A,random_n12_00,spectrum,high,reference-proposed,coam,4,2.151746780401668,2.124133848678577,2.1557558073076115,1.1832777536673855,1.166895447041518,1.2011370961357826
A,random_n12_00,spectrum,high,reference-proposed,coam,8,2.702863178838838,2.701704770278287,2.813403885991255,1.2752592648994405,1.2649602780616118,1.3122740281388297
A,random_n12_00,spectrum,high,reference-proposed,coam,16,2.719262316090408,2.6959546555827862,2.7217521275680374,1.2632993282264082,1.2580556756864527,1.305467702176205
A,random_n12_00,spectrum,high,reference-proposed,coam,32,2.8625970746166467,2.857762655334104,2.872012172687949,1.269640598114619,1.2635353818978179,1.3154900144267079
A,random_n12_00,spectrum,high,reference-proposed,coam,64,3.6022089157260755,3.595855616475325,3.605055290504665,1.225631622745722,1.2197822947597283,1.2643820395245666
A,random_n12_00,spectrum,natural,reference,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
A,random_n12_00,spectrum,natural,reference,coam,2,2.3049835855799046,2.3001657233207977,2.3053072956697935,2.1264708884128707,2.120070819419519,2.1275293051537343
A,random_n12_00,spectrum,natural,reference,coam,4,4.4771847566040766,4.466328144180107,4.477992726398075,3.7614527006889213,3.7563538899829885,3.761498323157481
A,random_n12_00,spectrum,natural,reference,coam,8,7.171056535258831,7.142038067451011,7.175255456431628,5.777310188485379,5.774006010341341,5.777451830825159
A,random_n12_00,spectrum,natural,reference,coam,16,7.726964789461784,7.673798792917886,7.870226861346291,7.538857716285832,7.513631809245137,7.7023024412650924
A,random_n12_00,spectrum,natural,reference,coam,32,12.677647797447987,12.632820246779875,12.873091724859231,12.45306647780457,12.394281910559783,12.64493791767212
A,random_n12_00,spectrum,natural,reference,coam,64,15.928635878062142,15.928559883339158,16.01243311441098,15.05164769671714,15.041440111793872,15.196022312594096
A,random_n12_00,spectrum,natural,reference-proposed,coam,1,1.0,1.0,1.0,1.0,1.0,1.0
