case,n,m,metric,profile,method,steps,group,scalar_mobius_xor,scalar_component_xor,scalar_elimination_xor,scalar_coefficient_updates,scalar_rollback_xor,scalar_degree_checks,pivot_checks,delta_candidates,delta_coefficients,word_mobius_xor,word_component_xor,word_elimination_xor,word_coefficient_updates,word_rollback_xor,word_degree_checks,top_guard_checks,top_guard_kept,top_guard_fallback,degree_drops,scalar_guard_checks,scalar_guard_kept,scalar_guard_fallback,scalar_degree_drops
random_n04_02,4,4,spectrum,high,reference-proposed,3712,random,0,0,0,343824,0,33296,0,75806,42978,0,0,0,0,0,0,0,0,0,0,41151,19479,8394,1823
random_n04_03,4,4,min,static,reference,7808,random,999424,3997696,0,0,0,1873920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_03,4,4,min,static,reference-proposed,7808,random,999424,0,124928,0,0,0,257664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_03,4,4,max,natural,reference,8064,random,1032192,0,0,0,0,516096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_03,4,4,max,natural,reference-proposed,8064,random,0,0,0,99422,0,19704,0,85176,45612,0,0,0,0,0,0,0,0,0,0,24094,11460,4862,1154
random_n04_03,4,4,max,high,reference,8960,random,1146880,0,0,0,0,573440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_03,4,4,max,high,reference-proposed,8960,random,0,0,0,233953,0,29013,0,182980,103740,0,0,0,0,0,0,0,0,0,0,27176,12201,5703,2287
random_n04_03,4,4,spectrum,natural,reference,3584,random,458752,1835008,0,0,0,860160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_03,4,4,spectrum,natural,reference-proposed,3584,random,0,0,0,162176,0,33014,0,37856,20272,0,0,0,0,0,0,0,0,0,0,39643,18738,7986,1946
random_n04_03,4,4,spectrum,high,reference,3712,random,475136,1900544,0,0,0,890880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_03,4,4,spectrum,high,reference-proposed,3712,random,0,0,0,343824,0,36617,0,75806,42978,0,0,0,0,0,0,0,0,0,0,40726,19037,8277,2380
random_n04_04,4,4,min,static,reference,7808,random,999424,3997696,0,0,0,1873920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_04,4,4,min,static,reference-proposed,7808,random,999424,0,499712,0,0,0,132736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_04,4,4,max,natural,reference,8064,random,1032192,0,0,0,0,516096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_04,4,4,max,natural,reference-proposed,8064,random,0,0,0,100965,0,19394,0,83601,47061,0,0,0,0,0,0,0,0,0,0,24317,11439,4620,1178
random_n04_04,4,4,max,high,reference,8960,random,1146880,0,0,0,0,573440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_04,4,4,max,high,reference-proposed,8960,random,0,0,0,246044,0,25060,0,182980,103740,0,0,0,0,0,0,0,0,0,0,29476,14022,5722,1472
random_n04_04,4,4,spectrum,natural,reference,3584,random,458752,1835008,0,0,0,860160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_04,4,4,spectrum,natural,reference-proposed,3584,random,0,0,0,167328,0,32561,0,37156,20916,0,0,0,0,0,0,0,0,0,0,40398,18915,7761,1995
random_n04_04,4,4,spectrum,high,reference,3712,random,475136,1900544,0,0,0,890880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_04,4,4,spectrum,high,reference-proposed,3712,random,0,0,0,343824,0,35857,0,75806,42978,0,0,0,0,0,0,0,0,0,0,41178,19242,8335,2119
random_n04_05,4,4,min,static,reference,7808,random,999424,3997696,0,0,0,1873920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_05,4,4,min,static,reference-proposed,7808,random,999424,0,499712,0,0,0,132736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_05,4,4,max,natural,reference,8064,random,1032192,0,0,0,0,516096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_05,4,4,max,natural,reference-proposed,8064,random,0,0,0,97992,0,18616,0,83412,45486,0,0,0,0,0,0,0,0,0,0,24122,11581,4694,1013
random_n04_05,4,4,max,high,reference,8960,random,1146880,0,0,0,0,573440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_05,4,4,max,high,reference-proposed,8960,random,0,0,0,184460,0,17325,0,182980,103740,0,0,0,0,0,0,0,0,0,0,22156,10593,4414,977
random_n04_05,4,4,spectrum,natural,reference,3584,random,458752,1835008,0,0,0,860160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_05,4,4,spectrum,natural,reference-proposed,3584,random,0,0,0,161728,0,32744,0,37072,20216,0,0,0,0,0,0,0,0,0,0,39960,18860,7836,1975
random_n04_05,4,4,spectrum,high,reference,3712,random,475136,1900544,0,0,0,890880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_05,4,4,spectrum,high,reference-proposed,3712,random,0,0,0,343824,0,32875,0,75806,42978,0,0,0,0,0,0,0,0,0,0,41005,19523,8148,2025
random_n04_06,4,4,min,static,reference,7808,random,999424,3997696,0,0,0,1873920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_06,4,4,min,static,reference-proposed,7808,random,999424,0,249856,0,0,0,156160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_06,4,4,max,natural,reference,8064,random,1032192,0,0,0,0,516096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random_n04_06,4,4,max,natural,reference-proposed,8064,random,0,0,0,101566,0,18880,0,82782,47124,0,0,0,0,0,0,0,0,0,0,24493,11674,4535,1114
random_n04_06,4,4,max,high,reference,8960,random,1146880,0,0,0,0,573440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
