n,metric,profile,steps,independent_inputs,repeats_per_input,reference_growth_factor,baseline_us,baseline_us_q1,baseline_us_q3,proposed_us,proposed_us_q1,proposed_us_q3,paired_speedup,paired_speedup_q1,paired_speedup_q3,baseline_total_ms,baseline_total_ms_q1,baseline_total_ms_q3,proposed_total_ms,proposed_total_ms_q1,proposed_total_ms_q3,total_speedup,total_speedup_q1,total_speedup_q3,speedup_over_reference_factor,speedup_over_reference_factor_q1,speedup_over_reference_factor_q3
12,spectrum,natural,32,10,5,24,109365.702140625,109290.4623828125,109464.80040625,989.82825,904.5694765625001,1082.0765625,110.69754670528496,101.01290334028724,121.07384404321363,3609.8205245,3607.2539465,3612.8024729999997,77.9404655,73.1910395,78.49521325,46.55896610928737,45.70245306326423,49.37034265344666,4.612397779386873,4.208870972511969,5.044743501800568
13,max,high,48,10,5,13,835.6163854166667,834.8670156249999,836.2755833333333,21.938322916666667,21.633635416666664,23.170588541666667,38.08925633536796,36.08970647792497,38.72119087782097,41.827476000000004,41.78728225,41.862374,2.2821495,2.25494,2.3333965,18.31465737474752,17.956431588249608,18.54907716942249,2.9299427950283046,2.77613126753269,2.9785531444477673
13,max,natural,280,10,5,13,823.486682142857,823.1361428571429,825.1597312499999,1.207194642857143,0.915230357142857,1.4201982142857144,692.6647484757556,580.1812897574348,901.9149881094165,232.2421225,232.17769950000002,232.72886775,1.557268,1.47019,1.6134780000000002,149.524818155101,144.1174758557738,158.07811650094746,53.281903728904275,44.62932998134113,69.37807600841666
13,min,static,8,10,5,630.1538461538462,456340.330875,455154.01234375,456559.726,485.97325,476.681,497.93490625,937.7759219268279,915.9378500227094,959.62213778288,4106.7525590000005,4097.06084925,4107.05032175,5.2372675,5.15510625,5.3575935,782.3771327184706,766.4581325303529,798.9147455324727,1.4881697979795852,1.4535146545770534,1.5228378651339647
13,spectrum,high,8,10,5,26,456000.07643749996,454457.12559375,457670.0261875,12616.8123125,12445.034125,12749.08515625,36.15526289199293,35.86249177026217,36.78161431672942,4104.489136,4090.2036375,4118.95072875,279.676917,278.397567,281.86240699999996,14.701336406641282,14.547353111631045,14.763358003458906,1.3905870343074205,1.3793266065485448,1.414677473720362
13,spectrum,natural,8,10,5,26,456373.464875,454475.333125,456871.13443750003,2916.499125,2258.86765625,3563.50721875,159.38287612032036,128.09622555477142,202.44993272780894,4107.7226625,4091.195648,4111.8588575,202.699037,197.93744075,207.985352,20.194802382404283,19.754747703931773,20.731459343436384,6.1301106200123225,4.926777905952747,7.786535874146497
14,max,high,24,10,5,14,1864.4935625,1864.0291458333331,1866.6001666666668,48.74522916666667,46.81959375,51.002750000000006,38.23644018347331,36.553727015244995,39.7957167334138,48.394227,48.36547725,48.43315725,3.779671,3.7631680000000003,3.82997525,12.80857430791445,12.654722400038576,12.849427290200554,2.7311742988195222,2.610980501088928,2.8425511952438427
14,max,natural,296,10,5,14,1855.6245016891892,1855.0695912162162,1856.6337905405405,2.363412162162162,1.8648640202702704,2.9501630067567564,785.1126523212531,632.2506591853589,996.6953797555573,552.8549264999999,552.7737215,553.1597674999999,3.2950375000000003,3.146943,3.48781425,167.76028660955706,158.72424398269936,175.71784086696928,56.079475165803785,45.16076137038278,71.19252712539695
14,min,static,8,10,5,1170.2857142857142,1872860.6425,1870858.73815625,1873534.9534375002,1138.6169375,1119.12984375,1148.9180625,1645.8648780696258,1627.611855031832,1672.460738734375,16854.5586525,16839.45826,16864.089008000003,11.996153,11.882386499999999,12.11884475,1405.3832461035254,1389.070722873622,1419.3326995681864,1.4063786799911355,1.3907816144070828,1.429104635149002
14,spectrum,high,8,10,5,28,1871190.7289375002,1869090.0090625,1872718.71334375,49360.0669375,49010.9453125,49488.011625,37.91707948746501,37.83066138417803,38.17723391491976,16838.4168875,16825.58365625,16853.25359475,1092.6938565,1089.9159909999998,1100.28393475,15.40966005865696,15.30396484653724,15.43640050602439,1.3541814102666074,1.3510950494349294,1.3634726398185628
14,spectrum,natural,8,10,5,28,1873017.236,1870503.2027187499,1873939.1958437501,11419.064750000001,8041.4335625,13799.9879375,164.33075188635854,135.65540629370665,239.35414734605925,16858.0458075,16837.29281475,16866.376035,788.316585,761.1887389999999,811.4063325,21.352954643245596,20.785137577125813,22.14989053319743,5.868955424512805,4.8448359390609514,8.548362405216402
15,max,high,8,10,5,15,4111.29375,4108.3035,4113.45840625,93.0023125,91.3833125,104.004625,44.235029376827086,39.62591608897329,44.996282087311,40.747187499999995,40.7133365,40.78326125,6.383651,6.3543235,6.48311575,6.384934924232854,6.283138930803398,6.410741277109197,2.9490019584551392,2.6417277392648857,2.999752139154067
15,max,natural,388,10,5,15,4101.137698453608,4099.440603092784,4102.940912371134,3.3889974226804123,1.684819587628866,5.54016043814433,1272.511689235696,743.5572132774884,2482.3519245255097,1599.01776,1598.38129725,1599.82162975,7.0282605,6.285676499999999,7.9088175000000005,227.7649759545888,202.22612644482416,254.43847078051,84.83411261571305,49.57048088516589,165.49012830170065
15,min,static,2,10,5,2184.5333333333333,7762874.2305,7759049.470625,7772985.146875,2531.36825,2509.681625,2552.114125,3065.2649256873965,3050.6126340889837,3090.675540588724,23290.574791500003,23280.942054,23310.18664825,11.515778000000001,11.40533525,11.581477,2026.8735690272365,2011.2213523817647,2040.0962955207935,1.4031669276523115,1.396459640848839,1.4147989840341448
15,spectrum,high,2,10,5,30,7757886.96525,7749529.60425,7764855.103,165660.33575,164336.553,166294.052125,46.81905748236457,46.644381425943614,47.14459805654511,23280.0336505,23249.55033125,23297.61387675,3080.655185,3077.9529700000003,3090.6739669999997,7.551281517512219,7.533633114977413,7.5636011787871364,1.5606352494121523,1.5548127141981205,1.571486601884837
15,spectrum,natural,2,10,5,30,7765059.60775,7753533.5797500005,7781941.5805,32874.4335,22571.087875,52197.05,246.5570044152193,149.51777009877418,344.7203770980261,23288.681323999997,23261.601414,23362.6789305,2822.6431595,2799.5217625,2867.39530375,8.256173712634883,8.159924394315496,8.3191265575251,8.218566813840644,4.98392566995914,11.490679236600872
16,max,high,6,10,5,16,9017.633333333335,9009.213291666667,9020.496500000001,193.96224999999998,189.33666666666667,205.27495833333333,46.51228265513612,43.95700353679192,47.58313002205824,71.237674,71.17313875,71.34681225,13.574463000000002,13.51506575,13.671719,5.25593200386086,5.210186182805408,5.267727818857931,2.9070176659460074,2.747312721049495,2.97394562637864
16,max,natural,110,10,5,16,9007.653854545453,9005.35141818182,9008.889013636363,6.828172727272728,3.196909090909091,9.034618181818182,1322.87893969848,1000.0638319206253,3054.39597521994,1008.0546294999999,1007.759395,1008.21603525,13.209048500000002,12.795834000000001,13.526097,76.3265722637229,74.47093983182646,78.75104405822657,82.679933731155,62.50398949503908,190.89974845124624
16,min,static,2,10,5,4096.0,32040068.676,31978796.12975,32060862.896375,5983.9275,5863.808625,6078.2185,5345.1297128829465,5289.527774944791,5464.790176389497,96082.4447965,95973.41347599999,96181.75750549999,26.615488,26.21065575,26.864742,3611.2299151421757,3584.0319758493115,3667.456962061699,1.304963308809313,1.2913886169298807,1.334177289157592
16,spectrum,high,2,10,5,32,32068542.2965,31973142.450999998,32097374.671375,655338.74375,654334.76275,659422.919875,48.87552608322041,48.55362080491067,48.980657190770565,96214.543711,95962.02447900001,96300.43727875,12159.6785245,12147.589817249998,12198.70195075,7.896076932459277,7.886327106140145,7.919244791101624,1.5273601901006377,1.5173006501534585,1.5306455372115801
16,spectrum,natural,2,10,5,32,32017628.74375,31948067.674625,32105193.064499997,87417.99375,66561.752625,127281.158,370.74090722933084,252.4915319726977,480.7507046606595,96059.522048,95835.95750749999,96301.96138674999,11060.9826605,11008.23059875,11140.68687125,8.694900424173962,8.636228629036786,8.717303382019509,11.585653350916589,7.890360374146803,15.02345952064561
