case,group,n,m,metric,profile,steps,baseline_anf_xor_per_step,proposed_anf_xor_per_step,logical_anf_xor_ratio,baseline_degree_tests_per_step,proposed_degree_tests_per_step,mean_delta_fraction,conditional_guard_keep_fraction,actual_degree_drops,measured_time_speedup,reference_growth_factor
MISTY1_S9,practical,9,9,spectrum,natural,128,1200384.0,16654.0,72.07781914254834,261632.0,71.6640625,0.1270599365234375,0.9259075241437134,57,122.42690091306167,18
PRESENT,practical,4,4,max,high,8960,128.0,26.091629464285713,4.905787895509045,64.0,2.738058035714286,0.7236328125,0.6891702586206897,1615,3.9047766381347033,4
PRESENT,practical,4,4,max,natural,8064,128.0,12.714781746031745,10.067022978192174,64.0,2.279513888888889,0.37548828125,0.7217484008528785,1107,3.5028755435885923,4
PRESENT,practical,4,4,min,static,7808,640.0,160.0,4.0,240.0,0.0,,,0,3.9255771089063884,4.0
PRESENT,practical,4,4,spectrum,high,3712,640.0,92.625,6.909581646423752,240.0,9.250269396551724,0.7236328125,0.7022490280856011,2171,3.3044840161327977,8
PRESENT,practical,4,4,spectrum,natural,3584,640.0,48.0625,13.315994798439531,240.0,8.938616071428571,0.37548828125,0.7128014703124413,2011,4.656493024481953,8
random_n03_00,random,3,3,max,high,15744,36.0,7.888338414634147,4.563698729407218,24.0,2.449758638211382,0.658203125,0.5226374799786438,4887,3.028393212802421,3
random_n03_00,random,3,3,max,natural,11008,36.0,5.554505813953488,6.481224650006542,24.0,2.496457122093023,0.4140625,0.5642123869739615,3609,2.411954463808923,3
random_n03_00,random,3,3,min,static,8448,132.0,52.0,2.5384615384615383,56.0,0.0,,,0,2.2586844870713265,2.6666666666666665
random_n03_00,random,3,3,spectrum,high,9344,132.0,21.0625,6.267062314540059,56.0,6.452482876712328,0.658203125,0.5375524854395233,7841,4.263568222024522,6
random_n03_00,random,3,3,spectrum,natural,6528,132.0,13.25,9.962264150943396,56.0,5.959405637254902,0.4140625,0.5717060690766097,5002,2.739622305097841,6
random_n03_01,random,3,3,max,high,15744,36.0,9.032774390243903,3.985486456839085,24.0,2.7290396341463414,0.658203125,0.5238202449567724,4799,2.740674089344737,3
random_n03_01,random,3,3,max,natural,11008,36.0,5.5813953488372094,6.45,24.0,2.836755087209302,0.4072265625,0.5247412353923205,3875,2.7119615362253624,3
random_n03_01,random,3,3,min,static,8448,132.0,44.0,3.0,56.0,0.0,,,0,2.288267399954169,2.6666666666666665
random_n03_01,random,3,3,spectrum,high,9344,132.0,21.0625,6.267062314540059,56.0,6.37992294520548,0.658203125,0.5323435843054083,7197,4.314339344642803,6
random_n03_01,random,3,3,spectrum,natural,6528,132.0,13.03125,10.129496402877697,56.0,6.532169117647059,0.4072265625,0.5280335534879237,5366,2.9841258412296114,6
random_n03_02,random,3,3,max,high,15744,36.0,11.31103912601626,3.182731453664344,24.0,3.438452743902439,0.658203125,0.549594837935174,7105,2.3279855218677086,3
random_n03_02,random,3,3,max,natural,11008,36.0,5.390897529069767,6.677923259693645,24.0,2.760265261627907,0.3916015625,0.5315985130111525,3559,2.697569939768585,3
random_n03_02,random,3,3,min,static,8448,132.0,52.0,2.5384615384615383,56.0,0.0,,,0,2.294106705067728,2.6666666666666665
random_n03_02,random,3,3,spectrum,high,9344,132.0,21.0625,6.267062314540059,56.0,6.424443493150685,0.658203125,0.538734416703267,7777,3.422099824801887,6
random_n03_02,random,3,3,spectrum,natural,6528,132.0,12.53125,10.53366583541147,56.0,6.521292892156863,0.3916015625,0.5220332523462436,5121,3.864577517879338,6
random_n03_03,random,3,3,max,high,15744,36.0,11.300622459349594,3.1856652259199514,24.0,3.4273373983739837,0.658203125,0.5507507507507508,7087,1.61359582933187,3
random_n03_03,random,3,3,max,natural,11008,36.0,5.3843568313953485,6.686035329250393,24.0,2.8501998546511627,0.384765625,0.5267746762964409,3840,1.3344373349184897,3
random_n03_03,random,3,3,min,static,8448,132.0,36.0,3.6666666666666665,56.0,0.0,,,0,1.4424188204453368,2.6666666666666665
random_n03_03,random,3,3,spectrum,high,9344,132.0,21.0625,6.267062314540059,56.0,6.41898544520548,0.658203125,0.539441235093409,7775,4.34617601584821,6
random_n03_03,random,3,3,spectrum,natural,6528,132.0,12.3125,10.720812182741117,56.0,6.577359068627451,0.384765625,0.5235085703341952,5226,2.315881620715363,6
random_n03_04,random,3,3,max,high,15744,36.0,10.156186483739837,3.5446375524549874,24.0,3.0579903455284554,0.658203125,0.5499230032879677,6308,2.217317100201067,3
random_n03_04,random,3,3,max,natural,11008,36.0,5.531068313953488,6.508688368426239,24.0,2.7786155523255816,0.4033203125,0.5402123424021235,3796,3.1965386322173464,3
random_n03_04,random,3,3,min,static,8448,132.0,44.0,3.0,56.0,0.0,,,0,2.359188769020587,2.6666666666666665
random_n03_04,random,3,3,spectrum,high,9344,132.0,21.0625,6.267062314540059,56.0,6.452482876712328,0.658203125,0.5375524854395233,7841,3.3560676805237977,6
random_n03_04,random,3,3,spectrum,natural,6528,132.0,12.90625,10.227602905569007,56.0,6.484375,0.4033203125,0.5403422982885085,5253,4.96064691328224,6
random_n03_05,random,3,3,max,high,15744,36.0,10.166666666666666,3.540983606557377,24.0,3.092543191056911,0.658203125,0.5401146722765334,6126,2.832666108313658,3
random_n03_05,random,3,3,max,natural,11008,36.0,5.6204578488372094,6.40517213512203,24.0,2.6400799418604652,0.4248046875,0.5425038639876353,3465,2.9354484506150023,3
random_n03_05,random,3,3,min,static,8448,132.0,52.0,2.5384615384615383,56.0,0.0,,,0,1.3269766985269271,2.6666666666666665
random_n03_05,random,3,3,spectrum,high,9344,132.0,21.0625,6.267062314540059,56.0,6.462970890410959,0.658203125,0.5271740939195261,7329,4.30996279151231,6
random_n03_05,random,3,3,spectrum,natural,6528,132.0,13.59375,9.710344827586207,56.0,6.427389705882353,0.4248046875,0.5382522789099413,5159,4.448117311415108,6
random_n03_06,random,3,3,max,high,15744,36.0,10.156122967479675,3.5446597205718646,24.0,3.1136305894308944,0.658203125,0.5379639228695833,6219,2.3116417286123867,3
random_n03_06,random,3,3,max,natural,11008,36.0,5.783066860465116,6.2250706880301605,24.0,2.799963662790698,0.4228515625,0.5163532297628781,4072,3.084307735848476,3
random_n03_06,random,3,3,min,static,8448,132.0,36.0,3.6666666666666665,56.0,0.0,,,0,2.649896505880189,2.6666666666666665
random_n03_06,random,3,3,spectrum,high,9344,132.0,21.0625,6.267062314540059,56.0,6.374571917808219,0.658203125,0.5328740353085356,7185,4.112042075857388,6
random_n03_06,random,3,3,spectrum,natural,6528,132.0,13.53125,9.755196304849884,56.0,6.451593137254902,0.4228515625,0.5293832663146165,5468,4.609811645260618,6
random_n03_07,random,3,3,max,high,15744,36.0,9.032901422764228,3.985430407695445,24.0,2.784743394308943,0.658203125,0.5234155981432971,5249,3.068939870214285,3
random_n03_07,random,3,3,max,natural,11008,36.0,5.854287790697675,6.149338960958351,24.0,2.572311046511628,0.4443359375,0.5389561529516382,3587,2.572689395512368,3
random_n03_07,random,3,3,min,static,8448,132.0,60.0,2.2,56.0,0.0,,,0,2.1452843021762953,2.6666666666666665
